id,organism,host,country,isolate,isolation_source,molecule_type,dbxref,topology,taxonomy,collection_date,reported_date,n_count
MT263469.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW390/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-15,15-SEP-2020,0
MT263468.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW389/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,15-SEP-2020,0
MT263467.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW388/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,15-SEP-2020,1
MT263465.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW386/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,15-SEP-2020,9
MT263464.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW385/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,15-SEP-2020,0
MT263463.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: CT,SARS-CoV-2/human/USA/WA-UW384/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,15-SEP-2020,0
MT263462.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW383/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-23,15-SEP-2020,0
MT263459.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW380/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-24,15-SEP-2020,4
MT263458.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW379/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-15,15-SEP-2020,0
MT263457.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW378/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-15,15-SEP-2020,0
MT263456.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: WA,SARS-CoV-2/human/USA/WA-UW376/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-24,15-SEP-2020,4
