id,organism,host,country,isolate,isolation_source,molecule_type,dbxref,topology,taxonomy,collection_date,reported_date,n_count
MT370920.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08466/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370919.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08123/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-14,06-AUG-2020,0
MT370918.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08414/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,1122
MT370917.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08429/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-19,06-AUG-2020,0
MT370916.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08443/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370915.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08125/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-13,06-AUG-2020,0
MT370914.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08447/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370913.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08143/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370912.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08427/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-19,06-AUG-2020,0
MT370911.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08493/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
