id,organism,host,country,isolate,isolation_source,molecule_type,dbxref,topology,taxonomy,collection_date,reported_date,n_count
MN997409.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: AZ,SARS-CoV-2/human/USA/AZ-CDC-AZ1/2020,buccal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,22-Jan-2020,29-JUL-2020,0
MN994468.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: CA,SARS-CoV-2/human/USA/CA-CDC-CA2/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,22-Jan-2020,29-JUL-2020,0
MN994467.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: CA,SARS-CoV-2/human/USA/CA-CDC-CA1/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,23-Jan-2020,29-JUL-2020,0
MN988713.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: Illinois,SARS-CoV-2/human/USA/IL-CDC-IL1/2020,sputum,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,21-Jan-2020,29-JUL-2020,0
MN985325.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA,SARS-CoV-2/human/USA/WA-CDC-WA1/2020,oropharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,19-Jan-2020,29-JUL-2020,0
NC_045512.2,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,China,Wuhan-Hu-1,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,Dec-2019,18-JUL-2020,0
MT007544.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,"Australia: Melbourne, Victoria",SARS-CoV-2/human/AUS/VIC01/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,25-Jan-2020,25-JUN-2020,0
MN996531.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,China: Wuhan,WIV07,bronchoalveolar lavage fluid,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,30-Dec-2019,18-MAR-2020,0
MN996530.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,China: Wuhan,WIV06,bronchoalveolar lavage fluid,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,30-Dec-2019,18-MAR-2020,0
MN996529.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,China: Wuhan,WIV05,bronchoalveolar lavage fluid,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,30-Dec-2019,18-MAR-2020,0
