id,organism,host,country,isolate,isolation_source,molecule_type,dbxref,topology,taxonomy,collection_date,reported_date,n_count
MT507032.2,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: FL,SARS-CoV-2/human/USA/FL-BPHL-0059/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-04-21,28-AUG-2020,0
MT507018.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: FL,SARS-CoV-2/human/USA/FL-BPHL-0045/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-04-17,28-AUG-2020,176
MT506981.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: FL,SARS-CoV-2/human/USA/FL-BPHL-0008/2020,NaN,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-04-03,28-AUG-2020,261
MT509493.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: Maryland,SARS-CoV-2/human/USA/MD-HP00078/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-23,27-AUG-2020,2
MT509492.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: DC,SARS-CoV-2/human/USA/DC-HP00073/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,27-AUG-2020,5
MT509491.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: Maryland,SARS-CoV-2/human/USA/MD-HP00028/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-26,27-AUG-2020,2
MT509490.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: DC,SARS-CoV-2/human/USA/DC-HP00026/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-14,27-AUG-2020,4
MT509489.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: Maryland,SARS-CoV-2/human/USA/MD-HP00025/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,27-AUG-2020,2
MT509488.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: Maryland,SARS-CoV-2/human/USA/MD-HP00033/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,27-AUG-2020,4
MT509487.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: Maryland,SARS-CoV-2/human/USA/MD-HP00105/2020,nasopharyngeal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,27-AUG-2020,220
